seller_id,avg_score,median_score,n_orders,pct_negative,seller_state,seller_city,flag
08f5819815f3d06545011850bd70f0a8,4.666666666666667,5.0,3,0.0,SP,santos,False
091065b789659bc3cd9af9cb3a6253ff,3.5,3.5,2,50.0,RS,canoas,False
0936e1837d0c79253456bbb2ffaaef10,5.0,5.0,1,0.0,SP,sao paulo,False
093805f8f2aeb63881444571e1f48f30,4.181818181818182,5.0,22,13.636363636363635,SP,osasco,False
094ced053e257ae8cae57205592d6712,4.052631578947368,5.0,19,15.789473684210526,SP,ribeirao preto,False
0951a6e282947e09cd47969f4ed0b47f,4.857142857142857,5.0,7,0.0,SP,taboao da serra,False
09883d9ab71c8fe8a9bfc7fc3075b07e,4.0,4.5,4,25.0,SP,sao paulo,False
099095b050cfe8eb1ddff5317587e96e,3.375,4.5,16,37.5,SP,sao paulo,False
09bad886111255c5b5030314fc7f1a4a,5.0,5.0,5,0.0,SP,sao paulo,False
09f952a5f58d2285b0372551ae8f9b01,3.9782608695652173,4.5,46,13.043478260869565,SP,sao bernardo do campo,False
0a198e95d32b1be2da9424c962a6ebfa,5.0,5.0,1,0.0,MG,contagem,False
0a82f5fb06a4fe4ac2cf7cb412ec71b8,5.0,5.0,2,0.0,SP,sao paulo,False
0a85ebe4e328db81ac9109781205e2f7,4.583333333333333,5.0,12,0.0,SP,jundiai,False
0aa2205ca24f113f4658a5c536667426,4.0,5.0,4,25.0,SP,sao paulo,False
0ac4201fda2c68ebc0e47cb9423cf3c9,4.230769230769231,5.0,13,15.384615384615385,SP,sao paulo,False
0ad80de75c811326389cfb1daba7d45e,5.0,5.0,5,0.0,RJ,rio de janeiro,False
0adac9fbd9a2b63cccaac4f8756c1ca8,4.114285714285714,5.0,105,11.428571428571429,SP,louveira,False
0ade5cc4a305ed7093a23f68ca47519c,5.0,5.0,2,0.0,PR,curitiba,False
0aea4c6ae1505b3228ddf3dd7822ee5b,3.875,4.5,8,12.5,SP,sorocaba,False
0af2ab31141893d26aca5a404a537dab,5.0,5.0,1,0.0,SP,sao paulo,False
0af977692321d895349eded183341d28,4.5,4.5,2,0.0,SP,santos,False
0afccdb8a34ee5c79f7c06faf2b4d56e,4.086956521739131,4.0,23,13.043478260869565,MG,uberlandia,False
0b0ddbc7b9d9584f442c7ac92b0ff6c9,4.666666666666667,5.0,3,0.0,SP,guarulhos,False
